Section,Required object,Search terms used,Source,Exact category,Asset ID/path,Static/articulated,Visual quality,Collision quality,Required modification,Recommended action,Confidence
BUILDING AND ARCHITECTURE,Emergency light,"emergency light, emergency lights",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Exit sign,"exit sign, exit signs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STORAGE AND LOGISTICS,Pallet,"pallet, pallets",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STORAGE AND LOGISTICS,Wooden pallet,"wooden pallet, wooden pallets",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STORAGE AND LOGISTICS,Plastic pallet,"plastic pallet, plastic pallets",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STORAGE AND LOGISTICS,Pallet rack,"pallet rack, pallet racks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STORAGE AND LOGISTICS,Warehouse rack,"warehouse rack, warehouse racks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STORAGE AND LOGISTICS,Industrial shelving,"industrial shelving, industrial shelvings",ObjectThor,large_objects,f090d4b341d749af8d74ac317e9d4b66,Static ObjectThor payload,A black metal shelf with five levels on it.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STORAGE AND LOGISTICS,Metal shelf,"metal shelf, metal shelfs",ObjectThor,large_objects,f090d4b341d749af8d74ac317e9d4b66,Static ObjectThor payload,A black metal shelf with five levels on it.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STORAGE AND LOGISTICS,Storage cabinet,"storage cabinet, storage cabinets",Artiverse,armoire,artiverse/armoire/3dfModel/ab16f4ce-dc13-4694-bb5b-288c850a12aa,Articulated SDF,Articulated armoire with functional doors or drawers,Publisher-bound collision (3–32 elems dataset-wide),Resize/material check,D — available only as articulated asset,High
STORAGE AND LOGISTICS,Cardboard box,"cardboard box, cardboard boxs, carton, shipping box",ArtVIP,household_items,household_items/model_carton_10,Articulated SDF,A rectangular corrugated-cardboard shipping carton with printed handling icons and a barcode label.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STORAGE AND LOGISTICS,Carton,"carton, cartons",ArtVIP,household_items,household_items/model_carton_10,Articulated SDF,A rectangular corrugated-cardboard shipping carton with printed handling icons and a barcode label.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STORAGE AND LOGISTICS,Wooden crate,"wooden crate, wooden crates",ObjectThor,small_objects,ff75a203792e4066aa7549f17f83453d,Static ObjectThor payload,A wooden crate with a red biohazard sticker in the corner.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STORAGE AND LOGISTICS,Plastic crate,"plastic crate, plastic crates",ArtVIP,household_items,household_items/model_basket_22,Articulated SDF,A perforated rectangular plastic shopping basket with two pivoting black handles.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STORAGE AND LOGISTICS,Storage bin,"storage bin, storage bins",ArtVIP,household_items,household_items/model_basket_22,Articulated SDF,A perforated rectangular plastic shopping basket with two pivoting black handles.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STORAGE AND LOGISTICS,Ingredient sack,"ingredient sack, ingredient sacks",No reliable exact match,-,-,Unknown,Lexical results were absent or false positives,Unknown,Manual visual verification or modular approximation,J — uncertain; manual verification required,Low
STORAGE AND LOGISTICS,Grain sack,"grain sack, grain sacks",No reliable exact match,-,-,Unknown,Lexical results were absent or false positives,Unknown,Manual visual verification or modular approximation,J — uncertain; manual verification required,Low
STORAGE AND LOGISTICS,Food container,"food container, food containers",ObjectThor,small_objects,e04173a631684c58af4d7151f8660844,Static ObjectThor payload,An open metal food container with a spoon.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STORAGE AND LOGISTICS,Plastic drum,"plastic drum, plastic drums",ObjectThor,small_objects,fc9611915c5a404c8923aea6f52bc00e,Static ObjectThor payload,Brown barrel with a black hole in the side and no hole in the top.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STORAGE AND LOGISTICS,Metal drum,"metal drum, metal drums",ObjectThor,small_objects,fc9611915c5a404c8923aea6f52bc00e,Static ObjectThor payload,Brown barrel with a black hole in the side and no hole in the top.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STORAGE AND LOGISTICS,Barrel,"barrel, barrels",ObjectThor,small_objects,fc9611915c5a404c8923aea6f52bc00e,Static ObjectThor payload,Brown barrel with a black hole in the side and no hole in the top.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STORAGE AND LOGISTICS,Wrapped pallet,"wrapped pallet, wrapped pallets",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STORAGE AND LOGISTICS,Forklift,"forklift, forklifts",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
STORAGE AND LOGISTICS,Pallet jack,"pallet jack, pallet jacks, hand pallet truck",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
STORAGE AND LOGISTICS,Hand pallet truck,"hand pallet truck, hand pallet trucks",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
STORAGE AND LOGISTICS,Trolley,"trolley, trolleys",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
STORAGE AND LOGISTICS,Utility cart,"utility cart, utility carts, trolley, service cart",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STORAGE AND LOGISTICS,Hand truck,"hand truck, hand trucks",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
STORAGE AND LOGISTICS,Platform cart,"platform cart, platform carts",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
STORAGE AND LOGISTICS,Delivery truck,"delivery truck, delivery trucks",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
STORAGE AND LOGISTICS,Box truck,"box truck, box trucks",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
RECEIVING AREA,Receiving desk,"receiving desk, receiving desks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
RECEIVING AREA,Industrial inspection table,"industrial inspection table, industrial inspection tables",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
RECEIVING AREA,Floor scale,"floor scale, floor scales",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
RECEIVING AREA,Pallet scale,"pallet scale, pallet scales",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
RECEIVING AREA,Weighing scale,"weighing scale, weighing scales",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
RECEIVING AREA,Barcode scanner,"barcode scanner, barcode scanners",No reliable exact match,-,-,Unknown,Lexical results were absent or false positives,Unknown,Manual visual verification or modular approximation,J — uncertain; manual verification required,Low
RECEIVING AREA,Computer terminal,"computer terminal, computer terminals",ObjectThor,small_objects,ef7ff55860ef4c15bbee7aee3fee83ec,Static ObjectThor payload,An old computer terminal.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
RECEIVING AREA,Clipboard,"clipboard, clipboards",ObjectThor,small_objects,c229ec7fe42440f1847ea69b13082328,Static ObjectThor payload,"A white counter with blue top with medicine, a clipboard, and box of disposable blue gloves.",Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
RECEIVING AREA,Safety barrier,"safety barrier, safety barriers",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
RECEIVING AREA,Traffic cone,"traffic cone, traffic cones",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
RECEIVING AREA,Dock bumper,"dock bumper, dock bumpers",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
RECEIVING AREA,Wheel stop,"wheel stop, wheel stops",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
WASHING AND PREPARATION,Stainless-steel sink,"stainless steel sink, stainless steel sinks",ObjectThor,small_objects,7f1d0ea46bf74cf7bfd751ba3d75673a,Static ObjectThor payload,A stainless steel sink among dark cabinets and a tan countertop with towels hanging nearby.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
WASHING AND PREPARATION,Deep industrial sink,"deep industrial sink, deep industrial sinks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
WASHING AND PREPARATION,Wash basin,"wash basin, wash basins",ObjectThor,small_objects,7f1d0ea46bf74cf7bfd751ba3d75673a,Static ObjectThor payload,A stainless steel sink among dark cabinets and a tan countertop with towels hanging nearby.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
WASHING AND PREPARATION,Hand-washing station,"hand washing station, hand washing stations",ObjectThor,small_objects,7f1d0ea46bf74cf7bfd751ba3d75673a,Static ObjectThor payload,A stainless steel sink among dark cabinets and a tan countertop with towels hanging nearby.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
WASHING AND PREPARATION,Spray hose,"spray hose, spray hoses",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
WASHING AND PREPARATION,Preparation table,"preparation table, preparation tables",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
WASHING AND PREPARATION,Stainless-steel worktable,"stainless steel worktable, stainless steel worktables",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
WASHING AND PREPARATION,Cutting table,"cutting table, cutting tables",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
WASHING AND PREPARATION,Food-safe tray,"food safe tray, food safe trays",ObjectThor,small_objects,e04173a631684c58af4d7151f8660844,Static ObjectThor payload,An open metal food container with a spoon.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
WASHING AND PREPARATION,Ingredient crate,"ingredient crate, ingredient crates",ObjectThor,small_objects,ff75a203792e4066aa7549f17f83453d,Static ObjectThor payload,A wooden crate with a red biohazard sticker in the corner.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
WASHING AND PREPARATION,Vegetable crate,"vegetable crate, vegetable crates",ObjectThor,small_objects,ff75a203792e4066aa7549f17f83453d,Static ObjectThor payload,A wooden crate with a red biohazard sticker in the corner.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
WASHING AND PREPARATION,Waste bin,"waste bin, waste bins, trash bin, garbage can",ArtVIP,household_items,household_items/model_stepping_dustbin_9,Articulated SDF,A small rectangular stainless-steel step trash bin with a hinged lid and front foot pedal.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
WASHING AND PREPARATION,Recycling bin,"recycling bin, recycling bins",ArtVIP,household_items,household_items/model_trash_can_22,Articulated SDF,A green outdoor recycling trash bin with a hinged lid and printed recycle logo.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
WASHING AND PREPARATION,Drain channel,"drain channel, drain channels",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
WASHING AND PREPARATION,Wall shelf,"wall shelf, wall shelfs",ObjectThor,large_objects,f090d4b341d749af8d74ac317e9d4b66,Static ObjectThor payload,A black metal shelf with five levels on it.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
WASHING AND PREPARATION,Soap dispenser,"soap dispenser, soap dispensers",ObjectThor,wall_objects,c80cffde43b44abc866aec6bb8186fda,Static ObjectThor payload,A hand soap dispenser for a wall.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
WASHING AND PREPARATION,Paper-towel dispenser,"paper towel dispenser, paper towel dispensers",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Conveyor belt,"conveyor belt, conveyor belts",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Industrial conveyor,"industrial conveyor, industrial conveyors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Roller conveyor,"roller conveyor, roller conveyors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Belt conveyor,"belt conveyor, belt conveyors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Mixing tank,"mixing tank, mixing tanks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Stainless-steel tank,"stainless steel tank, stainless steel tanks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Processing vat,"processing vat, processing vats",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Mixing vat,"mixing vat, mixing vats",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Hopper,"hopper, hoppers",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Funnel hopper,"funnel hopper, funnel hoppers",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Industrial mixer,"industrial mixer, industrial mixers",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
PROCESSING MACHINERY,Pump,"pump, pumps",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Motor,"motor, motors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Pipe,"pipe, pipes",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Pipe network,"pipe network, pipe networks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
PROCESSING MACHINERY,Valve,"valve, valves",ObjectThor,wall_objects,dcdc1bec108d42a29608478d63517c4c,Static ObjectThor payload,A wheel valve inside of an iron wall.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
PROCESSING MACHINERY,Control panel,"control panel, control panels",ObjectThor,wall_objects,78b02c6254dd4fdda10f12b59baebfc8,Static ObjectThor payload,A security control panel with keypad and fingerprint reader.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
PROCESSING MACHINERY,Control cabinet,"control cabinet, control cabinets, electrical cabinet, enclosure",Artiverse,armoire,artiverse/armoire/3dfModel/ab16f4ce-dc13-4694-bb5b-288c850a12aa,Articulated SDF,Articulated armoire with functional doors or drawers,Publisher-bound collision (3–32 elems dataset-wide),Resize/material check,D — available only as articulated asset,High
PROCESSING MACHINERY,Filling machine,"filling machine, filling machines",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
PROCESSING MACHINERY,Dosing machine,"dosing machine, dosing machines",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
PROCESSING MACHINERY,Food-processing machine,"food processing machine, food processing machines",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
PROCESSING MACHINERY,Washing machine for food,"washing machine for food, washing machine for foods",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
PROCESSING MACHINERY,Sorting machine,"sorting machine, sorting machines",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
PROCESSING MACHINERY,Inspection machine,"inspection machine, inspection machines",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
PROCESSING MACHINERY,Processing line,"processing line, processing lines",No reliable exact match,-,-,Unknown,Lexical results were absent or false positives,Unknown,Manual visual verification or modular approximation,J — uncertain; manual verification required,Low
PROCESSING MACHINERY,Machine safety guard,"machine safety guard, machine safety guards",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
PROCESSING MACHINERY,Emergency-stop button,"emergency stop button, emergency stop buttons",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
PROCESSING MACHINERY,Stainless machine frame,"stainless machine frame, stainless machine frames",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
